pile_id,road_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
149518,1273,25.076832,121.170489,2,1,1700,150,7,
149519,1273,25.076989,121.170391,2,1,1720,151,7,
149520,1273,25.077147,121.170296,2,1,1740,152,7,
149521,1273,25.077306,121.170202,2,1,1760,152,7,
149522,1273,25.077465,121.170108,2,1,1780,152,7,
149523,1273,25.077624,121.170014,2,1,1800,152,7,
149524,1273,25.07778,121.169913,2,1,1820,149,7,
149525,1273,25.077934,121.169811,2,1,1840,149,7,
149526,1273,25.078089,121.169709,2,1,1860,148,7,
149527,1273,25.078242,121.169603,2,1,1880,148,7,
149528,1273,25.078395,121.169498,2,1,1900,148,7,
149529,1273,25.078547,121.169392,2,1,1920,148,7,
149530,1273,25.0787,121.169286,2,1,1940,148,7,
149531,1273,25.078853,121.169181,2,1,1960,149,7,
149532,1273,25.079008,121.169079,2,1,1980,149,7,
149533,1273,25.079162,121.168976,2,1,2000,149,7,
149534,1273,25.079317,121.168873,2,1,2020,149,7,
149535,1273,25.079471,121.16877,2,1,2040,149,7,
