類別碼,識別碼,起點編號,終點編號,管理單位,作業區分,設置日期,管線編號,尺寸單位,管徑寬度,管徑高度,涵管條數,管線材料,管線長度,管線型態,使用狀態,資料狀態,備註,OBJECTID,起點埋設深度,終點埋設深度,前一次Status_XY,QualityLV_Old,QualityLV
801010103,801010103000499,,,T2,1,1.2623E+12,AC11300130-既有管線4,3,0.12,0.06,2,PH,2.1,0,0,1,,546783,0.5,0.5,1,4,3
801010103,801010103000500,,,T2,1,1.2623E+12, AC11300130-既有管線5,3,0.12,0.06,2,PH,17.2,0,0,1,,546784,0.7,0.7,1,4,3
801010103,801010103000501,,,T2,1,1.2623E+12,AC11300130-既有管線6,3,0.12,0.06,2,PH,8.6,0,0,1,,546785,0.5,0.5,1,4,3
801010103,801010103000505,,,T2,1,1.2623E+12,AC11300130-既有管線7,3,0.12,0.06,2,PH,15.7,0,0,1,,546789,0.7,0.7,1,4,3
801010103,801010103000527, , ,T2,1,1.2623E+12, ,3,0.089,0,1,PH,25.4,0,0,1, ,546811,0.8,0.8,1,3,3
801010103,801010103000582, , ,T2,1,1.56928E+12, ,3,0.178,0.178,3,PH,34.8,0,0,1, ,546866,0.55,0.5,1,3,3
801010103,801010103000593, , ,T2,1,1.2623E+12, 1141411-既有管線1,3,0.06,0,1,PH,8.5,0,0,1, ,546877,0.4,0.8,1,4,3
801010103,801010103000610, , ,T3,1,1.62544E+12, ,1,6,3,2,PVC,38.61,0,0,0,,546894,0.52,0.49,2,1,1
801010103,801010103000657, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,30.7,0,0,1, ,546941,0.5,0.5,1,3,3
801010103,801010103000671, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,20.9,0,0,1, ,546955,0.5,0.5,1,3,3
801010103,801010103000672, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,20.9,0,0,1, ,546956,0.5,0.5,1,3,3
801010103,801010103000679, , ,T2,1,1.2623E+12, ,3,0.089,0,1,PH,13,0,0,1, ,546963,0.8,0.8,1,3,3
801010103,801010103000729, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,3.8,0,0,1, ,547013,0.4,0.8,1,3,3
801010103,801010103000730, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,6,0,0,1, ,547014,0.7,0.7,1,3,3
801010103,801010103000731,,,T2,1,1.2623E+12, AC11398862-既有管線1,3,0.06,0,1,PH,4.2,0,0,1,,547015,0.8,0.8,1,4,3
801010103,801010103000753, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,7.3,0,0,1, ,547037,0.7,0.7,1,3,3
801010103,801010103000770, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,3.7,0,0,1, ,547054,0.4,0.8,1,3,3
801010103,801010103000772, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,28.3,0,0,1, ,547056,0.7,0.7,1,3,3
801010103,801010103000777, , ,T2,1,1.62484E+12, NL1064370,1,4,2,2,PVC,23.3,0,0,0, ,547061,0.42,0.33,2,1,1
801010103,801010103000778, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,19.3,0,0,1, ,547062,0.8,0.8,1,3,3
801010103,801010103000790, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,19,0,0,1, ,547074,0.7,0.7,1,3,3
801010103,801010103000801, , ,T3,1,1.65568E+12, ,1,2,0,1,PVC,46,0,0,1, ,547085,0.7,0.7,1,3,3
801010103,801010103000805, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,14.9,0,0,1, ,547089,0.7,0.7,1,3,3
801010103,801010103000834, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,28,0,0,1, ,547118,0.7,0.7,1,3,3
801010103,801010103000873, , ,T2,1,1.2623E+12, ,1,9,6,5,PH,19.5,0,0,1, ,547157,0.55,0.4,1,3,3
801010103,801010103000885, , ,T3,1,1.61646E+12, ,1,1.5,0,1,PVC,15.51,0,0,1, ,547169,0.5,0.5,1,3,3
801010103,801010103000887, , ,T3,1,1.59322E+12,  ,1,3,0,1,PVC,18.55,0,0,1, ,547171,0.5,0.5,1,3,3
801010103,801010103000892, , ,T2,1,1.2623E+12, ,3,0.178,0.178,3,PH,28.1,0,0,1, ,547176,0.5,1.2,1,3,3
801010103,801010103000918, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,31,0,0,1, ,547202,0.7,0.7,1,3,3
801010103,801010103000922, , ,T2,1,1.2623E+12,1141472既有管線-2,3,0.12,0.06,2,PH,22.4,0,0,1, ,547206,0.7,0.7,1,4,3
801010103,801010103000932, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,29.7,0,0,1, ,547216,0.7,0.7,1,3,3
801010103,801010103000961, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,15.6,0,0,1, ,547245,0.5,0.5,1,3,3
801010103,801010103000967, , ,T3,1,1.2623E+12, AC11313735,1,1.5,0,1,PVC,8.36,0,0,0, ,547251,0.34,0.42,1,4,4
801010103,801010103000990, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,52.2,0,0,1, ,547274,0.8,0.8,1,3,3
801010103,8010101030001003, , ,T2,1,1.2623E+12, ,1,4,2,2,PVC,23.13,0,0,1, ,547287,0.5,0.5,1,3,3
801010103,8010101030001010, , ,T2,1,1.2623E+12, 1141472既有管線-1,3,0.12,0.06,2,PH,25.2,0,0,1, ,547294,0.7,0.7,1,4,3
801010103,8010101030001016, , ,T2,1,1.62069E+12, ,1,1.5,0,1,PVC,6.9,0,0,0, ,547300,0.4,0.8,2,1,1
801010103,8010101030001021, , ,T2,1,1.2623E+12, ,3,0.089,0,1,PH,18.6,0,0,1, ,547305,0.8,1.1,1,3,3
801010103,8010101030001024, , ,T2,1,1.2623E+12, ,3,0.178,0.178,4,PH,61.5,0,0,1, ,547308,1.2,0.5,1,3,3
801010103,8010101030001030, , ,T3,1,1.63892E+12, ,1,2,0,1,PVC,15,0,0,1, ,547314,0.22,0.8,1,4,3
801010103,8010101030001035, , ,T3,1,1.65508E+12, AC11309916-1,1,4,2,2,PVC,26.7,0,0,0, ,547319,0.72,0.7,1,3,1
801010103,8010101030001036, , ,T3,1,1.65568E+12, ,1,2,0,1,PVC,15.2,0,0,1, ,547320,0.7,0.7,1,3,3
801010103,8010101030001045, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,13.8,0,0,1, ,547329,1.1,0.8,1,3,1
801010103,8010101030001071, , ,T2,1,1.2623E+12, 1141472既有管線-3,3,0.12,0.06,2,PH,24.4,0,0,1, ,547355,0.7,0.7,1,4,3
801010103,8010101030001080, , ,T3,1,1.65655E+12, ,1,4,2,2,PVC,35.1,0,0,1, ,547364,0.7,0.7,1,3,3
801010103,8010101030001085, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,4.8,0,0,1, ,547369,0.4,0.8,1,3,3
801010103,8010101030001096,,,T2,1,1.2623E+12, AC11398862-既有管線2,3,0.12,0.06,2,PH,28.3,0,0,1,,547380,0.7,0.7,1,3,3
